Annual Subway Ridership,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2016,2017,2018,2019,2020,2021,2020-2021 Change,,2021 Rank
Kingston-Throop Avs (C),,B,"2,031,710","2,085,536","2,099,891","2,055,094","791,030","936,706","145,676",18.40%,254
Knickerbocker Av (M),26,B,"1,288,438","593,366","772,085","1,544,093","659,855","675,807","15,952",2.40%,316
Kosciuszko St (J),,B,"1,661,644","1,979,192","1,908,610","1,779,062","731,320","882,810","151,490",20.70%,266
Lafayette Av (C),,B,"1,639,947","1,621,121","1,631,673","1,599,887","619,691","791,660","171,969",27.80%,286
Liberty Av (C),,B,"920,826","886,011","839,241","833,633","381,652","400,476","18,824",4.90%,387
Livonia Av (L),,B,"1,045,593","1,019,591","994,378","856,615","446,530","394,344","-52,186",-11.70%,388
"Lorimer St (J,M)",,B,"1,595,826","1,619,602","1,495,068","1,747,990","716,035","742,682","26,647",3.70%,300
Lorimer St (L)/Metropolitan Av (G),,B,"5,156,893","5,010,601","4,821,359","4,696,924","1,780,896","2,463,789","682,893",38.30%,80
"Marcy Av (J,M,Z)",,B,"4,272,443","4,199,041","4,171,666","4,717,791","1,816,258","2,028,980","212,722",11.70%,108
Montrose Av (L),,B,"2,338,095","2,306,046","2,239,760","1,933,886","828,023","1,221,841","393,818",47.60%,195
Morgan Av (L),,B,"2,614,617","2,594,607","2,465,927","2,100,475","866,007","1,234,325","368,318",42.50%,192
"Myrtle Av (J,M,Z)",,B,"3,764,562","4,213,096","3,789,470","3,854,024","1,563,366","1,734,324","170,958",10.90%,134
Myrtle-Willoughby Avs (G),,B,"1,887,369","1,765,653","1,768,122","1,820,637","789,214","957,769","168,555",21.40%,248
"Myrtle-Wyckoff Avs (L,M)",,B,"6,531,453","7,302,376","6,893,183","5,927,332","2,704,645","3,318,793","614,148",22.70%,48
Nassau Av (G),,B,"2,851,899","2,765,172","2,880,235","3,136,229","1,186,206","1,522,386","336,180",28.30%,161
Neck Rd (Q),,B,"1,336,596","1,379,473","1,366,989","1,362,524","573,448","655,522","82,074",14.30%,325
Neptune Av (F),,B,"513,566","478,754","433,083","428,163","185,099","211,247","26,148",14.10%,412
"Nevins St (2,3,4,5)",,B,"3,220,745","3,271,270","3,215,723","3,150,597","1,189,273","1,309,465","120,192",10.10%,186
New Lots Av (3),,B,"2,065,205","1,810,576","1,644,379","1,643,487","800,943","821,266","20,323",2.50%,281
New Lots Av (L),,B,"1,645,273","1,638,839","1,499,170","1,254,351","606,925","655,706","48,781",8.00%,324
New Utrecht Av (N)/62 St (D),27,B,"1,784,812","1,651,274","1,503,742","1,501,183","718,496","898,154","179,658",25.00%,260
"Newkirk Av (2,5)",,B,"2,395,551","2,315,386","2,221,270","2,131,839","1,021,789","1,142,138","120,349",11.80%,208
"Newkirk Plaza (B,Q)",,B,"3,315,748","3,356,199","3,258,207","3,252,504","1,356,510","1,689,443","332,933",24.50%,141
"Norwood Av (J,Z)",,B,"1,146,658","1,065,073","966,728","948,571","454,457","472,565","18,108",4.00%,365
Nostrand Av (3),,B,"1,358,853","1,295,175","1,250,715","1,370,372","512,753","603,014","90,261",17.60%,337
"Nostrand Av (A,C)",,B,"5,861,658","5,823,419","5,609,408","5,608,232","2,150,476","2,617,531","467,055",21.70%,72
